Movie_Title,Year,Rating,Runtime(Mins),main_genre,side_genre,text_data,cluster_id
Dilwale,2015,5.0,158,Action," Comedy,  Drama","Action  Comedy,  Drama",104
The Twilight Saga: Eclipse,2010,5.0,124,Action," Adventure,  Drama","Action  Adventure,  Drama",24
Obsessed,2009,5.0,108,Drama," Romance,  Thriller","Drama  Romance,  Thriller",136
After We Collided,2020,5.0,105,Drama, Romance,Drama  Romance,13
The Happening,2008,5.0,91,Adventure," Drama,  Sci-Fi","Adventure  Drama,  Sci-Fi",144
Showgirls,1995,5.0,128,Drama,Drama,Drama Drama,11
Sliver,1993,5.0,107,Drama, Thriller,Drama  Thriller,54
The NeverEnding Story II: The Next Chapter,1990,5.0,90,Adventure," Drama,  Family","Adventure  Drama,  Family",111
Knock Knock,2015,4.9,99,Drama, Thriller,Drama  Thriller,54
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,117,Adventure," Drama,  Fantasy","Adventure  Drama,  Fantasy",132
Did You Hear About the Morgans?,2009,4.9,103,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
High School Musical 3: Senior Year,2008,4.9,112,Comedy," Drama,  Family","Comedy  Drama,  Family",58
Shamshera,2022,4.8,178,Action," Adventure,  Drama","Action  Adventure,  Drama",24
The Woman in Black 2: Angel of Death,2014,4.8,98,Drama," Horror,  Thriller","Drama  Horror,  Thriller",158
Godsend,2004,4.8,102,Action," Drama,  Fantasy","Action  Drama,  Fantasy",159
Bharat,2019,4.7,150,Action," Comedy,  Drama","Action  Comedy,  Drama",104
IO,2019,4.7,96,Adventure," Drama,  Sci-Fi","Adventure  Drama,  Sci-Fi",144
Bodyguard,2011,4.7,130,Action," Comedy,  Drama","Action  Comedy,  Drama",104
In the Land of Blood and Honey,2011,4.7,127,Drama," Romance,  War","Drama  Romance,  War",112
The Twilight Saga: New Moon,2009,4.7,130,Adventure," Drama,  Fantasy","Adventure  Drama,  Fantasy",132
The Marine,2006,4.7,92,Action," Comedy,  Drama","Action  Comedy,  Drama",104
God's Not Dead,2014,4.6,113,Drama,Drama,Drama Drama,11
Driven,2001,4.6,116,Action," Drama,  Sport","Action  Drama,  Sport",137
Fifty Shades Freed,2018,4.5,105,Drama," Romance,  Thriller","Drama  Romance,  Thriller",136
Fifty Shades Darker,2017,4.5,118,Drama," Romance,  Thriller","Drama  Romance,  Thriller",136
Sex and the City 2,2010,4.5,146,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Hannah Montana: The Movie,2009,4.5,102,Comedy," Drama,  Family","Comedy  Drama,  Family",58
The Butterfly Effect 2,2006,4.5,92,Drama," Sci-Fi,  Thriller","Drama  Sci-Fi,  Thriller",119
The Next Karate Kid,1994,4.5,107,Action," Drama,  Family","Action  Drama,  Family",63
LOL,2012,4.3,97,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
Fifty Shades of Grey,2015,4.1,125,Drama," Romance,  Thriller","Drama  Romance,  Thriller",136
You Got Served,2004,3.8,95,Drama, Music,Drama  Music,82
Krym,2017,3.7,99,Action, Drama,Action  Drama,63
The Room,2003,3.6,99,Drama,Drama,Drama Drama,11
Mignonnes,2020,3.5,96,Drama,Drama,Drama Drama,11
Spy Kids 4: All the Time in the World,2011,3.5,89,Action," Adventure,  Comedy","Action  Adventure,  Comedy",19
Crossroads,2002,3.5,93,Comedy," Drama,  Romance","Comedy  Drama,  Romance",1
365 dni,2020,3.3,114,Drama, Romance,Drama  Romance,13
Liger,2022,3.0,140,Action," Drama,  Romance","Action  Drama,  Romance",140
Cats,2019,2.8,110,Comedy," Drama,  Family","Comedy  Drama,  Family",58
Gunday,2014,2.6,152,Action," Drama,  Musical","Action  Drama,  Musical",63
Smolensk,2016,1.2,120,Drama, Thriller,Drama  Thriller,54
Sadak 2,2020,1.1,133,Action, Drama,Action  Drama,63
Back to the Future,1985,8.5,116,Adventure," Comedy,  Sci-Fi","Adventure  Comedy,  Sci-Fi",105
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,95,Comedy, War,Comedy  War,109
Le fabuleux destin d'Amélie Poulain,2001,8.3,122,Comedy, Romance,Comedy  Romance,17
Singin' in the Rain,1952,8.3,103,Comedy," Musical,  Romance","Comedy  Musical,  Romance",113
Monty Python and the Holy Grail,1975,8.2,91,Adventure," Comedy,  Fantasy","Adventure  Comedy,  Fantasy",98
Some Like It Hot,1959,8.2,121,Comedy," Music,  Romance","Comedy  Music,  Romance",175
To Be or Not to Be,1942,8.2,99,Comedy," Romance,  War","Comedy  Romance,  War",109
It Happened One Night,1934,8.1,105,Comedy, Romance,Comedy  Romance,17
The Circus,1928,8.1,72,Comedy," Family,  Romance","Comedy  Family,  Romance",116
G.O.R.A.,2004,8.0,127,Adventure," Comedy,  Sci-Fi","Adventure  Comedy,  Sci-Fi",105
Life of Brian,1979,8.0,94,Comedy,Comedy,Comedy Comedy,8
Annie Hall,1977,8.0,93,Comedy, Romance,Comedy  Romance,17
Young Frankenstein,1974,8.0,106,Comedy,Comedy,Comedy Comedy,8
Roman Holiday,1953,8.0,118,Comedy, Romance,Comedy  Romance,17
Shaun of the Dead,2004,7.9,99,Comedy, Horror,Comedy  Horror,27
This Is Spinal Tap,1984,7.9,82,Comedy, Music,Comedy  Music,67
A Christmas Story,1983,7.9,93,Comedy, Family,Comedy  Family,53
The Philadelphia Story,1940,7.9,112,Comedy, Romance,Comedy  Romance,17
Paddington 2,2017,7.8,103,Adventure," Comedy,  Family","Adventure  Comedy,  Family",45
Vicky Donor,2012,7.8,126,Comedy, Romance,Comedy  Romance,17
Back to the Future Part II,1989,7.8,108,Adventure," Comedy,  Sci-Fi","Adventure  Comedy,  Sci-Fi",105
Ferris Bueller's Day Off,1986,7.8,103,Comedy,Comedy,Comedy Comedy,8
Le charme discret de la bourgeoisie,1972,7.8,102,Comedy,Comedy,Comedy Comedy,8
Mary Poppins,1964,7.8,139,Comedy," Family,  Fantasy","Comedy  Family,  Fantasy",20
